room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_HIGH_CHAIR,SYSTEM_CALENDAR,SYSTEM_BATHTUB
838589608866671461,https://www.airbnb.com.vn/rooms/838589608866671461,,Vũng Tàu,18,10.373426608185884,107.12332796305418,REGULAR,,JENBU upstairs w/2 king beds+private BA near beach,private_room,,False,,/ đêm,,,8,True,True,True,True,,,,,,,True,,,False,True,True,,True,,True,False,,,,,,,,True,,,,,,,,,,,,
700236784571541824,https://www.airbnb.com.vn/rooms/700236784571541824,"4,94",Vũng Tàu,30,10.3500428,107.0958238,REGULAR,,JENBU Suite 5* The Song @luxury@reasonable price,entire_home,16,False,,/ đêm,877.930,₫877.930,6,,True,True,True,True,True,,True,,,,True,True,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,
789465374458246404,https://www.airbnb.com.vn/rooms/789465374458246404,"5,0",Vũng Tàu,29,10.3500335,107.0961128,REGULAR,,The Sóng Vung Tau - Chau homestay - Suite,entire_home,3,False,,/ đêm,855.198,₫855.198,4,True,True,True,True,True,True,,True,True,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
891933387949683001,https://www.airbnb.com.vn/rooms/891933387949683001,,Vũng Tàu,9,10.3500712,107.09593,REGULAR,,Cat House - The Song Vung Tau-1PN-Ban công-Hồ Bơi,entire_home,,False,,/ đêm,988.031,₫988.031,2,True,True,True,True,True,,,True,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
43764585,https://www.airbnb.com.vn/rooms/43764585,"5,0",Thành phố Vũng Tàu,15,10.33466,107.0881,REGULAR,,Gold Sea Vung Tau - Chau homestay - Comfy 1bedroom,entire_home,5,False,,/ đêm,777.932,₫777.932,6,True,True,True,True,True,True,,True,True,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
878801786865293280,https://www.airbnb.com.vn/rooms/878801786865293280,,Vũng Tàu,23,10.35077,107.09609,REGULAR,,Cưng_Apartment 1BR is friendly,entire_home,,False,,/ đêm,,,2,True,True,True,True,,True,,True,,True,,,,False,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
817580950070771922,https://www.airbnb.com.vn/rooms/817580950070771922,"5,0",Vũng Tàu,30,10.34962,107.09424,REGULAR,,"T-Plantino 3brs VIP The Sóng(Bể bơi miễn phí,",entire_home,13,False,,/ đêm,,,12,True,True,True,True,True,True,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838320998490443399,https://www.airbnb.com.vn/rooms/838320998490443399,,Vũng Tàu,9,10.373426608185884,107.12332796305418,REGULAR,,JENBU spacious BR w/king bed+private BA near beach,private_room,,False,,/ đêm,,,4,True,True,True,True,,,,,,,True,,,False,True,True,,True,,True,False,,,,,,,,,,,,,,,,,,,,
760803196833001403,https://www.airbnb.com.vn/rooms/760803196833001403,"5,0",Vũng Tàu,30,10.349949065892169,107.09611279999999,REGULAR,,GIẢM GIÁ LỚN 33% Luxury 2 giường Apart The Sóng Vũng Tàu,entire_home,25,False,,/ đêm,,,6,True,True,True,True,,True,,True,,,True,True,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
865459677160269702,https://www.airbnb.com.vn/rooms/865459677160269702,"5,0",Vũng Tàu,21,10.35061,107.09724,REGULAR,,"BIG SALE 30%,Apt 122m2,The Sóng Free infinity pool",entire_home,5,False,,/ đêm,,,12,,True,True,True,True,True,True,True,,True,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
