room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_SNOWFLAKE,SYSTEM_FIREPIT,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_WASHER,SYSTEM_VIEW_CITY,SYSTEM_TV,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_ELEVATOR,SYSTEM_BOAT_SAIL,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_GYM,SYSTEM_GOLF,SYSTEM_EV_CHARGER,SYSTEM_BEACH,SYSTEM_PIANO
46778745,https://www.airbnb.com.vn/rooms/46778745,,Phúc Yên,30,21.33823,105.71932,REGULAR,,Flamingo Đại Lải Resort 1 Phòng ngủ có bữa sáng,entire_home,,False,,/ đêm,3.015,₫3.015.968,3,,True,True,True,True,True,True,,,,,,,True,,,,,,True,,True,,,,,True,,,,,,,,,,,,,,
757164629906581076,https://www.airbnb.com.vn/rooms/757164629906581076,"4,57",Quang Tiến,18,21.21779,105.7828,REGULAR,,"Thanh Huong 99 - Noi Bai, Ha Noi, Viet Nam (502)",private_room,7,False,,/ đêm,627.647,₫627.647,6,True,True,True,True,True,,,,,,True,,,True,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,
678457366399753791,https://www.airbnb.com.vn/rooms/678457366399753791,,Phúc Yên,30,21.33525,105.71918,REGULAR,,Phòng 301 - Limdim House Flamingo Đại Lải resort,private_room,,False,,/ đêm,1.335,₫1.335.177,5,,True,True,True,True,,True,,False,False,,,True,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
43426516,https://www.airbnb.com.vn/rooms/43426516,"3,67",tt. Tam Đảo,15,21.45621,105.64383,REGULAR,,Chillout Village Homestay Tam Đảo - Chalet Mebal,entire_home,3,False,,/ đêm,,,6,,True,True,,True,,,,False,,True,,True,True,,,,,,,,True,True,,,,,,,,,True,,,,,,,,,
569738538281319026,https://www.airbnb.com.vn/rooms/569738538281319026,,Thành phố Vĩnh Yên,5,21.31197,105.58745,REGULAR,,cho thuê phòng,private_room,,False,,/ đêm,456.471,₫456.471,2,,True,True,,True,True,,,,,,,,True,,False,True,,,True,,,,,True,,,True,,,False,,,,,True,,,,,
46790355,https://www.airbnb.com.vn/rooms/46790355,,Sóc Sơn,23,21.2943,105.7866,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Ổ Rồng,entire_home,,False,,/ đêm,2.398,₫2.398.800,2,,,True,,True,True,,True,False,False,,,,True,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
644659413222690227,https://www.airbnb.com.vn/rooms/644659413222690227,,Hanoi,10,21.318664535535213,105.77617239207031,REGULAR,,Nhà trên cây view hồ,private_room,,False,,/ đêm,1.483,₫1.483.530,2,,,,,,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
556898276930549155,https://www.airbnb.com.vn/rooms/556898276930549155,,Phúc Yên,17,21.32819,105.73411,REGULAR,,Biệt thự nghỉ dưỡng Hà Nội với tầm nhìn ra Hồ & Núi,entire_home,,False,,/ đêm,4.685,₫4.685.885,12,True,True,True,True,True,,,True,False,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32738337,https://www.airbnb.com.vn/rooms/32738337,,Thành phố Vĩnh Yên,9,21.32154,105.59641,REGULAR,,Căn hộ dịch vụ đầy đủ,entire_home,,False,,/ đêm,912.942,₫912.942,4,,,True,,True,True,,,,,,,,True,,,,,,True,,True,,,,,,True,,,,,,,,,True,,,,
37204932,https://www.airbnb.com.vn/rooms/37204932,,Thị xã Phúc Yên,11,21.33997,105.71843,REGULAR,,"Flamingo-Biệt thự bên hồ -Chỉ từ 900,000 VNĐ/1đêm",private_room,1,False,,/ đêm,1.741,₫1.741.198,2,,True,True,True,True,True,,,False,,,,,,,False,True,4,True,True,,True,,,,,True,,,,,,,,,,,,,,
41442966,https://www.airbnb.com.vn/rooms/41442966,,Hà Nội,10,21.15917,105.46867,REGULAR,,Elephant’s House - Đường Lâm Homestay,private_room,,False,,/ đêm,798.824,₫798.824,2,,True,True,,True,,,True,False,False,,,True,True,,,,,,,,,,,True,,True,,,,,,,,,,,,,,
806171570606152160,https://www.airbnb.com.vn/rooms/806171570606152160,,Phúc Yên,21,21.3023824,105.7512549,REGULAR,,Vườn biệt thự,private_room,,False,,/ đêm,2.149,₫2.149.200,2,,True,True,,True,,,,,,,,True,,True,False,False,,,,,,,,True,,,,,,False,,,,,,,,,,
