room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,rating,reviewCount,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_TOYS,SYSTEM_SAUNA,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_REFRIGERATOR,SYSTEM_BOAT_SAIL,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT
18588930,https://www.airbnb.com.vn/rooms/18588930,,19,21.04246,105.43437,REGULAR,,"Biệt thự Hoa Hồng, ngôi nhà yên bình và xinh đẹp ở Ba Vì",private_room,False,,/ đêm,2.738,₫2.738.825,8.0,,,True,True,,True,,True,False,False,,True,,True,True,,,,,"4,88",9,,,,False,False,,,,,,False,6,,,,,,,,
25056435,https://www.airbnb.com.vn/rooms/25056435,,9,20.67932,105.32551,REGULAR,,Lexing 1251 full Sóc Trăng,entire_home,False,,/ đêm,2.890,₫2.890.696,4.0,,,True,True,,,True,True,False,,,True,,True,True,,True,,,,,,,,,,,,,True,,,,,,,,,,,
647484095578911907,https://www.airbnb.com.vn/rooms/647484095578911907,Ba Vì,29,21.10998,105.32014,REGULAR,,4 phòng ngủ đáng yêu với tầm nhìn ra núi Ba Vì,entire_home,False,,/ đêm,2.168,₫2.168.236,8.0,,,True,True,,True,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
36326558,https://www.airbnb.com.vn/rooms/36326558,Hanoi,6,20.96777,105.56791,REGULAR,,Nhà vườn ngoại ô Hà Nội,entire_home,False,,/ đêm,267.656,₫267.656,5.0,,,True,True,,True,,True,False,,,True,,True,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
647467329434923888,https://www.airbnb.com.vn/rooms/647467329434923888,Ba Vì,19,21.11208,105.31841,REGULAR,,Phòng yên bình đáng yêu với tầm nhìn ra núi Ba Vì,entire_home,False,,/ đêm,597.925,₫597.925,2.0,,,True,True,,True,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
18373198,https://www.airbnb.com.vn/rooms/18373198,Thành phố Hòa Bình,7,20.8273,105.33892,REGULAR,,Nhà nghỉ Văn Hiến,entire_home,False,,/ đêm,1.150,₫1.150.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35745398,https://www.airbnb.com.vn/rooms/35745398,Sơn Lộc,10,21.11467,105.4916,REGULAR,,cho thue nha 74-122 thanh vi,entire_home,False,,/ đêm,2.863,₫2.863.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42520283,https://www.airbnb.com.vn/rooms/42520283,Ba Vì,22,21.04859,105.42294,REGULAR,,"Homestay Ba Vì, bể bơi chung, BBQ sân vườn",entire_home,False,,/ đêm,4.008,₫4.008.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35430943,https://www.airbnb.com.vn/rooms/35430943,Yên Bài,1,21.04185,105.44762,REGULAR,,ba vi homestay,entire_home,False,,/ đêm,1.711,₫1.711.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26837262,https://www.airbnb.com.vn/rooms/26837262,Sơn Tây,8,21.12573,105.50169,REGULAR,,"CACE 151m đường ĐÔNG HỒ 42:,6",private_room,False,,/ đêm,2.890,₫2.890.727,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
26348281,https://www.airbnb.com.vn/rooms/26348281,Yên Bài,16,21.03875,105.43087,REGULAR,,Biệt thự Hoa Hồng - Ba Vì - Phòng riêng 1,private_room,False,,/ đêm,684.706,₫684.706,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
22021313,https://www.airbnb.com.vn/rooms/22021313,Tân Xã,9,21.02374,105.55534,REGULAR,,H Minh Hòa là trung tâm nhà tuyệt vời của Hà Nội .,entire_home,False,,/ đêm,936.815,₫936.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4898659,https://www.airbnb.com.vn/rooms/4898659,Ba Vi,22,21.10085,105.41992,REGULAR,,Nhà sàn lớn ở BaVi ,entire_home,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26347765,https://www.airbnb.com.vn/rooms/26347765,Yên Bài,16,21.03957,105.43161,REGULAR,,Biệt thự Hoa Hồng - Ba Vì - phòng riêng 4,private_room,False,,/ đêm,718.942,₫718.942,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
38026263,https://www.airbnb.com.vn/rooms/38026263,Ba Vì,1,21.1074,105.40048,REGULAR,,Detrang farm Villa,entire_home,False,,/ đêm,2.927,₫2.927.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41036838,https://www.airbnb.com.vn/rooms/41036838,Sơn Tây,7,21.13742,105.48664,REGULAR,,Nhà phố mới xây!,entire_home,False,,/ đêm,535.327,₫535.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
