room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_SNOWFLAKE,SYSTEM_SMOKING_ALLOWED,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR
39078791,https://www.airbnb.com.vn/rooms/39078791,Thành phố Lạng Sơn,30,21.86315,106.76101,REGULAR,,Sống cùng gia đình bản xứ vui vẻ Phòng riêng 1 người ở Lạng sơn,private_room,False,,/ đêm,1.0,,True,True,,True,,,,False,False,265.894,₫265.894,,True,,,True,,,False,False,True,True,,,,
35509398,https://www.airbnb.com.vn/rooms/35509398,Thành phố Lạng Sơn,10,21.86251,106.75668,REGULAR,,cho thue nha 117 nguyen dang ninh,entire_home,False,,/ đêm,1.0,,True,True,,True,,True,,False,False,2.837,₫2.837.164,,,True,,,,,,,,,,,,
37218758,https://www.airbnb.com.vn/rooms/37218758,Lạng Sơn,10,21.85265,106.76096,REGULAR,,Happy Homestay - private room  in Lạng sơn City,private_room,False,,/ đêm,4.0,,True,True,,True,,True,,False,False,456.471,₫456.471,True,,,,True,,,False,False,True,True,,,,
39076920,https://www.airbnb.com.vn/rooms/39076920,Thành phố Lạng Sơn,9,21.86257,106.76213,REGULAR,,Happy Homestay private room 3 người ở Lạng sơn,private_room,False,,/ đêm,3.0,,True,True,,True,,True,,False,False,399.412,₫399.412,True,,,,True,,,False,False,True,True,,,,
41542014,https://www.airbnb.com.vn/rooms/41542014,Thành phố Lạng Sơn,13,21.84255,106.76251,REGULAR,,Khách sạn Thiên Phú cho thu...,entire_home,False,,/ đêm,6.0,,True,True,,True,True,True,,False,False,2.837,₫2.837.157,True,,,,,,,,,,,True,True,,
41465334,https://www.airbnb.com.vn/rooms/41465334,Thành phố Lạng Sơn,18,21.8553,106.76619,REGULAR,,Nha hang Hoang Vu cho thue...,entire_home,False,,/ đêm,6.0,,True,True,,True,True,True,,False,False,2.810,₫2.810.426,True,,,,True,,,,,,,True,,,
21508606,https://www.airbnb.com.vn/rooms/21508606,,8,21.8566,106.60825,REGULAR,,Cho nữ ở ghép Phòng full nội thất gần Lotte Q7.,entire_home,False,,/ đêm,2.0,,True,True,,True,True,True,,False,False,2.810,₫2.810.419,,,,True,True,True,,,,,,,,,
35556903,https://www.airbnb.com.vn/rooms/35556903,Thành phố Lạng Sơn,10,21.84748,106.7547,REGULAR,,cho thue nha 12 le lai,entire_home,False,,/ đêm,1.0,,True,True,,True,,True,,False,False,2.890,₫2.890.707,,,True,,,,,,,,,,,,
793812083717471087,https://www.airbnb.com.vn/rooms/793812083717471087,Thành phố Lạng Sơn,14,21.85162,106.75637,REGULAR,,camellia home 202,private_room,False,,/ đêm,2.0,True,,True,,True,,True,True,False,False,287.311,₫287.311,True,True,,,,,,False,True,True,,,,,
48390951,https://www.airbnb.com.vn/rooms/48390951,Thành phố Lạng Sơn,12,21.851058795926797,106.75686165709081,REGULAR,,camellia home 301,private_room,False,,/ đêm,2.0,,,True,True,True,,True,True,False,False,285.294,₫285.294,,,,,,,,False,True,True,,,,,
48795577,https://www.airbnb.com.vn/rooms/48795577,Thành phố Lạng Sơn,8,21.83663,106.76347,REGULAR,,AN KHANG HOTEL - PEACFUL CITY,private_room,False,,/ đêm,2.0,,,True,True,True,,True,,False,False,570.589,₫570.589,True,,,True,,,,,,,True,,,,
