room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_TV,isSuperHost,isVerified,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_GOLF,SYSTEM_BEACH,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_PETS,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,yearHosting,SYSTEM_PATIO_BALCONY,SYSTEM_REFRIGERATOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_OCEAN,SYSTEM_LUGGAGE_DROP,SYSTEM_FIREPLACE,SYSTEM_BABY_BATH,SYSTEM_GYM
817351471896731078,https://www.airbnb.com.vn/rooms/817351471896731078,"5,0",Thành phố Vinh,30,18.65471,105.69879,REGULAR,,BabaHouse - Homestay TP Vinh,private_room,7,False,,/ đêm,330.941,₫330.941,10.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
27314159,https://www.airbnb.com.vn/rooms/27314159,"4,2",,8,18.35892,105.89876,REGULAR,,Phương Phương 2 Hotel,private_room,5,False,,/ đêm,268.177,₫268.177,16.0,,True,,True,True,True,True,,False,,True,,,,,,,,,,,,,,,,,,,,,,,,
695095908787224144,https://www.airbnb.com.vn/rooms/695095908787224144,,Vinh,8,18.633348308901,105.80803235279429,REGULAR,,Chỗ ở với bãi biển cực đẹp,private_room,,False,,/ đêm,844.471,₫844.471,2.0,,True,,,,,,True,False,False,,False,False,True,True,False,,,,,,,,,,,,,,,,,,,
885761408742627210,https://www.airbnb.com.vn/rooms/885761408742627210,,Nghi Xuân,15,18.6343845,105.7969655,REGULAR,,Palmera Villa Hoa Tiên Paradise,entire_home,,False,,/ đêm,3.423,₫3.423.531,8.0,True,True,True,True,,,,,False,False,,,,True,,,True,True,True,,,,,,,,,,,,,,,,
873027411186669757,https://www.airbnb.com.vn/rooms/873027411186669757,,Thị xã Cửa Lò,10,18.8045393,105.7249744,REGULAR,,Kì nghỉ dưỡng thiên nhiên,entire_home,,False,,/ đêm,,,4.0,True,True,True,True,True,,True,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,
823364278388298069,https://www.airbnb.com.vn/rooms/823364278388298069,,Tân Bình,5,18.27259,106.01193,REGULAR,,Căn hộ cơ bản,private_room,,False,,/ đêm,456.471,₫456.471,2.0,True,True,True,True,True,,True,True,False,,True,False,False,,,,,,,True,,,,,,,,,,,,,,,
38465858,https://www.airbnb.com.vn/rooms/38465858,,Ha Tinh,12,18.32579,105.87777,REGULAR,,Luxury apartment for rent - Vinhomes Newcentre,entire_home,,False,,/ đêm,1.141,₫1.141.177,4.0,True,True,,True,True,True,True,,,,True,,,True,,,,,,,True,True,,,,,,,,,,,,,
671218667991757443,https://www.airbnb.com.vn/rooms/671218667991757443,,Vinh,22,18.63150247053277,105.80981329217366,REGULAR,,Biệt thự Thiên đường Hòa Tiên,entire_home,,False,,/ đêm,3.332,₫3.332.237,12.0,True,True,,True,True,,,True,False,,True,,,True,,,,,True,,,,True,,,,,,,,,,,,
24206983,https://www.airbnb.com.vn/rooms/24206983,"4,88",,30,18.80461,105.7246,REGULAR,,Nhà trên bãi biển - Cửa Lò 1,entire_home,8,False,,/ đêm,2.328,₫2.328.001,10.0,True,True,,,,,True,,False,False,True,,,True,,,,,True,,,True,,True,,,,,,,,,,,
885762854907560135,https://www.airbnb.com.vn/rooms/885762854907560135,,Thành phố Vinh,10,18.67942,105.69483,REGULAR,,Superior Double or Twin Room,private_room,,False,,/ đêm,,,2.0,,True,True,True,,,True,True,False,,True,,,True,,,,,,,,,,,,,,,,,,,,,
576696001958577184,https://www.airbnb.com.vn/rooms/576696001958577184,,Thành phố Hà Tĩnh,7,18.33092,105.88519,REGULAR,,Homestay của Xu,entire_home,,False,,/ đêm,456.471,₫456.471,2.0,True,True,True,True,True,,True,True,,,True,,,True,,,,,,,,,,,True,,,,,,,,,,
857756938063307527,https://www.airbnb.com.vn/rooms/857756938063307527,,Thị xã Cửa Lò,19,18.812728007853387,105.71924854069948,REGULAR,,Loop Homestay,private_room,,False,,/ đêm,,,16.0,True,True,,True,,,,True,False,False,True,False,True,,,False,,,True,,,,True,,,,,,,,,,,,
627909007339664485,https://www.airbnb.com.vn/rooms/627909007339664485,,Nghi Xuân,19,18.63132,105.8105,REGULAR,,chào mừng bạn về nhà,private_room,,False,,/ đêm,,,12.0,True,True,,True,,,,True,False,False,True,False,True,,,False,,,True,,,,True,,,,,,,,,,,,
9620774,https://www.airbnb.com.vn/rooms/9620774,"4,82",Nghi Văn,30,18.8666,105.50183,REGULAR,,Sống cùng gia đình bản xứ tại làng 2,private_room,22,False,,/ đêm,,,5.0,True,,True,True,,True,,,False,False,True,False,True,,,False,,,,,,,True,,,7,True,,,,,,,,
877472808570599162,https://www.airbnb.com.vn/rooms/877472808570599162,,Phường 22,7,18.173595330449718,105.6963720692068,REGULAR,,Căn hộ 2PN Vinhomes Central Park,entire_home,,False,,/ đêm,,,4.0,True,True,True,True,True,,True,,False,False,True,,,True,,,,,,,,,,,,,,,,,,,,,
816523610258612112,https://www.airbnb.com.vn/rooms/816523610258612112,,Quận 2,15,18.280079999999998,105.62541,REGULAR,,Nice studio flat in District 2,entire_home,,False,,/ đêm,,,2.0,True,True,True,True,,,True,True,False,,True,,,True,,,,,,,,,,,,,True,,,,,,,,
33617536,https://www.airbnb.com.vn/rooms/33617536,,Thị xã Cửa Lò,17,18.80513,105.72464,REGULAR,,Nhà trên bãi biển Cửa Lò 3,entire_home,,False,,/ đêm,2.173,₫2.173.883,8.0,True,True,,,,,True,,False,False,True,,,True,,,,,True,,,True,,True,,,,,,,,,,,
36135922,https://www.airbnb.com.vn/rooms/36135922,,Thành phố Hà Tĩnh,10,18.34794,105.89912,REGULAR,,cho thue nha 147-139 nguyen huy tu,entire_home,,False,,/ đêm,2.810,₫2.810.419,1.0,True,True,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
770692085904954431,https://www.airbnb.com.vn/rooms/770692085904954431,,Thành phố Vinh,5,18.67618,105.69522,REGULAR,,Khách sạn Sao Mai 1,private_room,,False,,/ đêm,318.388,₫318.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716364557673556774,https://www.airbnb.com.vn/rooms/716364557673556774,,Thành phố Vinh,11,18.66709,105.69323,REGULAR,,Phòng giường đôi cao cấp tại Vinh City-Near HCM Square,private_room,,False,,/ đêm,391.424,₫391.424,2.0,,True,True,True,,,True,True,False,False,True,,,,,,,,,,,,,True,,,,,,,,,,,
