room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,rating,reviewCount,price,price_full,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_SNOWFLAKE,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SMOKING_ALLOWED,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_GYM,SYSTEM_CALENDAR,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT,SYSTEM_SKI
25458949,https://www.airbnb.com.vn/rooms/25458949,,9,22.75477,104.92747,REGULAR,,"5 phòng ngủ cao cấp, 4 phòng tắm 18 phòng",entire_home,,,False,,/ đêm,5,,,,True,,,True,,False,,True,True,True,,,,2.783,₫2.783.654,,,True,,,,,,True,,True,,,,True,,,,,,,,
27858201,https://www.airbnb.com.vn/rooms/27858201,Thành phố Hà Giang,24,22.83035,104.98176,REGULAR,,Khách sạn giá rẻ Hà Giang Chopai,private_room,,,False,,/ đêm,6,,,,True,,True,,,False,False,,True,True,True,"4,33",6,319.530,₫319.530,,,True,,,True,True,,,,,,,,,,,,,,,,
24875110,https://www.airbnb.com.vn/rooms/24875110,Thành phố Hà Giang,19,22.81541,104.97902,REGULAR,,"Gia đình bản xứ Cindy, Thành phố Hà Giang, Việt Nam",hotel_room,,,False,,/ đêm,16,,,,True,,True,,,False,False,True,,,,,,267.664,₫267.664,,,True,,,,True,,,,,,,True,,,,,,,,,
24875278,https://www.airbnb.com.vn/rooms/24875278,Thành phố Hà Giang,21,22.8137,104.98118,REGULAR,,Hà Giang Cindy Homestay,private_room,,,False,,/ đêm,16,,,,True,,True,,,False,False,True,,,,,,133.825,₫133.825,,,True,,,,True,,,,,,,,,,,,,,,,
46112489,https://www.airbnb.com.vn/rooms/46112489,Hà Giang,9,22.80216,104.97734,REGULAR,,Vườn ngắm phòng riêng (phòng tắm khép kín),shared_room,,,False,,/ đêm,2,,,,True,,True,,,False,False,,,True,,,,399.412,₫399.412,,,,,,True,True,,,,,,,True,,,,,,,,,
35486820,https://www.airbnb.com.vn/rooms/35486820,Thành phố Ha Giang,18,22.81387,104.98873,REGULAR,,"Khách sạn lịch sử Hà Giang - Phòng 4 tầng (1 Q, 2 S)",hotel_room,,,False,,/ đêm,4,,,,True,,True,,,False,False,,True,True,True,,,1.460,₫1.460.707,,,True,,,True,True,,,,,,,,,,,,,,,,
18777725,https://www.airbnb.com.vn/rooms/18777725,Du Già,7,22.93152,105.2251,REGULAR,,QT Nhà khách Du Già ~ Bữa sáng & bữa tối tùy chọn,shared_room,,,False,,/ đêm,16,,,,True,,True,True,,False,False,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
690771828097792812,https://www.airbnb.com.vn/rooms/690771828097792812,Thành phố Hà Giang,5,22.77713113989404,104.97010593170779,REGULAR,,Chỗ ở đáng yêu có bể bơi,private_room,,,False,,/ đêm,4,,,,True,True,True,,True,False,False,,True,,,,,970.000,₫970.000,,,True,,,,,,True,,,,,,,,,,,,,,
42101145,https://www.airbnb.com.vn/rooms/42101145,Thành phố Hà Giang,19,22.82415,104.98606,REGULAR,,Phòng Seu 's House Kinh,shared_room,,,False,,/ đêm,6,,,,True,,True,True,,False,False,True,,,,,,657.318,₫657.318,,,,,,True,,,,,,,,True,,,,,,,,,
653454128748502858,https://www.airbnb.com.vn/rooms/653454128748502858,Thành phố Hà Giang,5,22.81576,104.96252,REGULAR,,Hà Giang Ali Hostel Phòng Tập Thể 6 Người D01,shared_room,,,False,,/ đêm,6,,,,True,,True,,True,False,False,,,,,,,250.000,₫250.000,,,True,,,True,,,,True,,,True,,,,,,True,,,,
25466971,https://www.airbnb.com.vn/rooms/25466971,Thành phố Hà Giang,20,22.82544,104.97227,REGULAR,,Biệt thự Homestay của bà Đặng Thị Tuyết,shared_room,,,False,,/ đêm,10,,,,True,,True,,True,False,False,True,True,True,,,,570.589,₫570.589,,,True,,,,,,True,,,,,,,,,,,,,,
21584992,https://www.airbnb.com.vn/rooms/21584992,,8,22.76772,104.93965,REGULAR,,"Căn Hộ Cao Cấp 1,8 Tỷ Mặt Tiền Xô Viết Nghệ Tĩnh",private_room,False,False,False,,/ đêm,2,,,,True,,True,True,,False,False,True,True,,,,,2.810,₫2.810.404,,,,,False,,,,True,,,,,,True,,,,,,,,
22285922,https://www.airbnb.com.vn/rooms/22285922,,30,23.0443,105.01518,REGULAR,,Homestay Lý Tả Danh - Trải nghiệm văn hóa đích thực,private_room,False,False,False,,/ đêm,16,,,,,,,True,,False,False,,,,,,1,2.282,₫2.282.354,,,,5,False,,True,,,,,,,,,,,,,,,,
25052550,https://www.airbnb.com.vn/rooms/25052550,,9,22.7593,104.95322,REGULAR,,Lexing 1244 full Phú Thọ,entire_home,,,False,,/ đêm,4,,,,True,,,True,,False,,True,True,True,,,,2.890,₫2.890.727,,,True,,,,,,True,,True,,,,True,,,,,,,,
