room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LOCK_ON_DOOR,SYSTEM_WORKSPACE,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_FLOWER,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_VIEW_OCEAN,SYSTEM_PATIO_BALCONY,SYSTEM_BREAKFAST,SYSTEM_JACUZZI,SYSTEM_POOL,SYSTEM_REFRIGERATOR,SYSTEM_TOYS,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_GYM
21852137,https://www.airbnb.com.vn/rooms/21852137,,,6,22.658,106.2657,REGULAR,,CT Cho thuê căn hộ CC Ruby City 2PN,private_room,,False,False,,False,,/ đêm,2.738,₫2.738.825,9.0,,,True,True,,True,,False,,,,,True,True,True,,,True,,,,,,,,True,True,,,,,,,
640917349382689788,https://www.airbnb.com.vn/rooms/640917349382689788,,Thành phố Cao Bằng,7,22.6627,106.26032,REPRESENTATIVE,,Phòng Master,private_room,,,,,False,,/ đêm,2.500,₫2.500.000,2.0,,,,True,True,True,True,,,,,,,True,,True,,,,,,,,,,,,,,,,,,
50708352,https://www.airbnb.com.vn/rooms/50708352,,Nam Mau commune,19,22.39899,105.61128,REGULAR,,Homestay Ông Linh - Gia đình sang trọng - Phòng ba 1,shared_room,,,,,False,,/ đêm,1.541,₫1.541.715,2.0,,,True,True,True,,,,False,False,,,,,,True,,,,True,,,,,,,,,,,,,,
41750730,https://www.airbnb.com.vn/rooms/41750730,,Ba Bể,4,22.38877,105.63501,REGULAR,,Green Homestay,private_room,,,,,False,,/ đêm,268.177,₫268.177,16.0,,,,True,,,,,False,False,,,True,,,True,,,,True,True,,,,True,,,,,,,,,
45167550,https://www.airbnb.com.vn/rooms/45167550,,Cao Bằng,7,22.55586,106.37886,REGULAR,,Căn hộ có tầm nhìn xung quanh cao bang !,entire_home,,,,,False,,/ đêm,363.479,₫363.479,4.0,,,True,True,True,True,,,False,,,,,True,True,True,,,,,,,,,,,,,,True,,,,
46358789,https://www.airbnb.com.vn/rooms/46358789,,Kim Cúc,17,22.877089,105.696243,REGULAR,,Ký túc xá thoải mái trong làng dân tộc thiểu số với khung cảnh lúa nước,private_room,,,,,False,,/ đêm,1.415,₫1.415.059,8.0,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
887542777283380129,https://www.airbnb.com.vn/rooms/887542777283380129,,Ba Bể,30,22.3985959,105.6119454,REGULAR,,Ba Be Lakeside Bungalow - Big Group 3 (6 - 12),private_room,,,,,False,,/ đêm,2.738,₫2.738.825,12.0,,True,,True,True,True,True,,False,False,,,,True,,,True,,,,,,True,,,,,,,,,,,
887529769410175489,https://www.airbnb.com.vn/rooms/887529769410175489,,Ba Bể,30,22.3985959,105.6119454,REGULAR,,Ba Be Lakeside Bungalow - Big group 1 (6 - 12),private_room,,,,,False,,/ đêm,2.738,₫2.738.825,12.0,,True,,True,True,True,True,,False,False,,,,True,,,True,,,,,,True,,,,,,,,,,,
6134880,https://www.airbnb.com.vn/rooms/6134880,,Quảng Khê,22,22.36492,105.73504,REGULAR,,Hà Nội - Hồ Ba Bể (2 ngày - 1 Nit),shared_room,,,,,False,,/ đêm,2.676,₫2.676.567,10.0,,,,True,,True,,,False,False,,,,,,,,,,,,,,,True,,True,,,,,,,
50708460,https://www.airbnb.com.vn/rooms/50708460,,Nam Mau commune,19,22.39729,105.61112,REGULAR,,Mr Linh's Homestay - Deluxe Double Room 2,shared_room,,,,,False,,/ đêm,1.084,₫1.084.022,2.0,,,True,True,True,,,,False,False,,,,,,True,,,,True,,,,,,,,,,,,,,
40209363,https://www.airbnb.com.vn/rooms/40209363,,Cao Bằng,5,22.66727,106.26377,REGULAR,,Cao Bằng || Happy,private_room,,False,False,,False,,/ đêm,910.037,₫910.037,4.0,,,,True,,,,False,False,False,,,True,True,,True,,,,,,,,,,True,,,,True,,,,
50708961,https://www.airbnb.com.vn/rooms/50708961,,Nam Mau commune,17,22.39964,105.61055,REGULAR,,Homestay của ông Linh - Phòng ba,shared_room,,,,,False,,/ đêm,1.445,₫1.445.365,3.0,,,True,True,True,,,,False,False,,,,,,True,,,,,,,,,,,,,,,,,,
33949333,https://www.airbnb.com.vn/rooms/33949333,,Nam Mau commune,7,22.39549,105.61659,REGULAR,,Nhà khách Minh Tân,private_room,,,,,False,,/ đêm,,,2.0,,,,True,,,,,False,False,,,,,,True,,,,,True,,,,True,,,,,,,,,
34789096,https://www.airbnb.com.vn/rooms/34789096,,Thành phố Cao Bằng,8,22.67024,106.25941,REGULAR,,cho thue nha 186 nuoc giap,entire_home,,,,,False,,/ đêm,2.837,₫2.837.164,4.0,,,True,True,,True,,,False,False,,,True,True,True,,,,,,,,,,,,True,,,,,,,
50628806,https://www.airbnb.com.vn/rooms/50628806,,Nam Mau commune,12,22.39972,105.61114,REGULAR,,Homestay của ông Linh - Phòng ba gia đình hoàng gia,private_room,,False,False,,False,,/ đêm,1.927,₫1.927.121,3.0,,,True,True,True,,,,False,False,True,,,,,True,,,,,,,,,,,,,,,,,,
41390894,https://www.airbnb.com.vn/rooms/41390894,,Ba Bể,12,22.40089,105.6225,REGULAR,,Khu nghỉ dưỡng Sài Gòn Bà Tân,private_room,,,,,False,,/ đêm,1.997,₫1.997.060,12.0,,,,True,True,True,,,False,,,,,,,True,,,,True,,,,,True,True,True,,,,,,,True
8058467,https://www.airbnb.com.vn/rooms/8058467,,Ngọc Phái,11,22.38944,105.6405,REGULAR,,Gia đình bản xứ Ba Bể,entire_home,,,,,False,,/ đêm,481.790,₫481.790,16.0,,,True,True,,True,,,False,False,,,,,,,,,,,,,,,True,,,,,,,,,
30172312,https://www.airbnb.com.vn/rooms/30172312,,Quảng Khê,6,22.35465,105.70111,REGULAR,,Căn hộ một phòng ngủ tuyệt vời ,private_room,,False,False,,False,,/ đêm,389.602,₫389.602,2.0,,,True,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,
33918843,https://www.airbnb.com.vn/rooms/33918843,,Nam Mẫu,1,22.39871,105.60946,REGULAR,,Sống cùng gia đình bản xứ ở Ba Bể Lakeview,private_room,,False,False,,False,,/ đêm,,,2.0,,,,True,,,,,False,False,True,,,,,True,,,,True,True,,,,True,,,,,,,,,
50708242,https://www.airbnb.com.vn/rooms/50708242,,Nam Mau commune,17,22.39797,105.61099,REGULAR,,Homestay Ông Linh - Gia đình sang trọng - Phòng ba 2,shared_room,,,,,False,,/ đêm,1.541,₫1.541.715,2.0,,,True,True,True,,,,False,False,,,,,,True,,,,True,,,,,,,,,,,,,,
44542218,https://www.airbnb.com.vn/rooms/44542218,,Thành phố Bắc Kạn,10,22.14933,105.83001,REGULAR,,Nha o cao cap cho thue tai Bac Kan,private_room,,False,True,,False,,/ đêm,2.623,₫2.623.041,4.0,,,True,True,True,True,,False,False,False,,,,True,,True,,,,,,,,,,True,,,,,,,,
26015991,https://www.airbnb.com.vn/rooms/26015991,,Thành phố Bắc Kạn,6,22.14678,105.83665,REGULAR,,Bích Phương - studio căn hộ hiện đại tại Bắc Kạn,entire_home,,,,,False,,/ đêm,776.205,₫776.205,5.0,,,True,True,True,True,,,,,,,,True,True,True,,True,,,,,,,,True,True,,,,,,,
38283781,https://www.airbnb.com.vn/rooms/38283781,,Trùng Khánh,9,22.85608,106.7019,REGULAR,,Sống cùng gia đình bản xứ chân thực của người dân Tây Tạng thân thiện,private_room,,False,True,,False,,/ đêm,264.842,₫264.842,4.0,,,,True,True,True,,False,False,False,,,True,True,,,,,,,,,,,True,,,,,True,,,,
23191138,https://www.airbnb.com.vn/rooms/23191138,,Đông Viên,12,22.14402,105.65908,REGULAR,,Nhà phố 4 tầng 124 này,entire_home,,,,,False,,/ đêm,880.585,₫880.585,5.0,,,True,True,True,True,,,,,,,,True,True,True,,True,,,,,,,,True,True,,,,,,,
35701428,https://www.airbnb.com.vn/rooms/35701428,,Thành phố Bắc Kạn,10,22.14709,105.83062,REGULAR,,cho thue nha 22 hoang truong giang,entire_home,,,,,False,,/ đêm,2.810,₫2.810.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
