room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_FLOWER,SYSTEM_HAIRDRYER,SYSTEM_MICROWAVE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_WORKSPACE,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SURVEILLANCE,SYSTEM_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_FIREPLACE,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FIREPIT,SYSTEM_BEACH,SYSTEM_DRYER,SYSTEM_TOYS,SYSTEM_CALENDAR,SYSTEM_POOL,SYSTEM_ELEVATOR,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_GYM
886097600240897188,https://www.airbnb.com.vn/rooms/886097600240897188,,thành phố Bến Tre,7,10.19841,106.39372,REGULAR,,Have Nest Retreat (Cá Mè Dinh),private_room,,,,,False,,/ đêm,1.711,₫1.711.766,2,True,True,,True,,,,False,False,,True,True,,,,,,True,,,True,,,,,,,,,,,,,,
21938479,https://www.airbnb.com.vn/rooms/21938479,"4,89",Châu Thành,21,10.31041,106.33204,REPRESENTATIVE,,Bungalow Garden View,private_room,27,False,True,5,False,,/ đêm,528.252,₫528.252,2,True,True,True,True,True,True,False,False,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
751010133250000790,https://www.airbnb.com.vn/rooms/751010133250000790,,thành phố Bến Tre,27,10.22452,106.34985,REGULAR,,Sunny bungalow gạchalow gỗ,entire_home,,,,,False,,/ đêm,684.706,₫684.706,4,True,True,,,True,,,False,False,,True,True,,,,,,,,True,,,,,,,,,,,,,,,
38195574,https://www.airbnb.com.vn/rooms/38195574,"5,0",thành phố Bến Tre,30,10.19399,106.44407,REGULAR,,Nhà nông trại Coco Happy,private_room,5,True,True,7,False,,/ đêm,,,2,True,True,True,True,,,,False,False,True,True,,,,,True,,,,True,,,,,,,,,,,,,,,
17162932,https://www.airbnb.com.vn/rooms/17162932,"4,86",tt. Cái Bè,15,10.33807,106.03126,REGULAR,,Nhà nghỉ Nam Thi (Homestay),entire_home,64,,,,False,,/ đêm,855.883,₫855.883,2,True,True,True,,,,,False,False,,,True,,,,,True,,,,,True,,True,,,,,,,,,,,
880765874070716355,https://www.airbnb.com.vn/rooms/880765874070716355,,Hang Kia,7,10.287420501375857,106.4459079131484,REGULAR,,một ngôi nhà thoáng mát,private_room,,,,,False,,/ đêm,,,16,True,True,,,True,,,False,False,True,,,,,True,,,,,,,True,,,,True,,,,,,,,,
40987330,https://www.airbnb.com.vn/rooms/40987330,,Cái Bè,30,10.33947,106.02901,REGULAR,,NHÀ HÀ PHAN,entire_home,,,,,False,,/ đêm,684.706,₫684.706,5,True,True,True,,True,,,False,False,True,,True,,,,,,,True,,True,,,,,,,,,,,,,,
832218183018837715,https://www.airbnb.com.vn/rooms/832218183018837715,,Bình Phú,7,10.24416,106.33132,REGULAR,,Homestay Bảo Bình,entire_home,,,,,False,,/ đêm,802.991,₫802.991,16,True,True,True,True,,,,False,False,True,True,,,,True,,,,,,,,,,,,True,,,,,,,,
42417319,https://www.airbnb.com.vn/rooms/42417319,"4,8",Bến Tre,30,10.22011,106.38299,REGULAR,,Stilt house - Hide Away Bungalow,private_room,5,False,True,3,False,,/ đêm,319.530,₫319.530,4,True,True,True,True,,,False,False,False,True,,,True,,,,,,,,,,,,,,,,,,,,,,
42412905,https://www.airbnb.com.vn/rooms/42412905,"4,86",Bến Tre,30,10.22058,106.38192,REGULAR,,Cube House - Hide Away Bungalow,private_room,14,False,True,3,False,,/ đêm,513.530,₫513.530,2,True,True,True,,,,,False,False,True,,True,True,,,True,,,,,True,,,,,,,,,,,,,,
