room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,rating,reviewCount,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,price,price_full,SYSTEM_BEACH,SYSTEM_WASHER,SYSTEM_CRIB,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_SAUNA,SYSTEM_PACK_N_PLAY,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_BATHTUB,SYSTEM_BREAKFAST,SYSTEM_CALENDAR,SYSTEM_PIANO,SYSTEM_MICROWAVE,SYSTEM_MAPS_RESORT,SYSTEM_GOLF
32413471,https://www.airbnb.com.vn/rooms/32413471,Thành phố Hội An,30,15.90492,108.34686,REGULAR,,"Phòng sang trọng,villa Hội An,view sông,ban công",hotel_room,,,False,,/ đêm,2.0,,,,,True,True,True,,,"4,7",20,True,True,True,,,,,349.363,₫349.363,,True,,,True,,,,,True,,True,,,,,,,,,,,,,
39162831,https://www.airbnb.com.vn/rooms/39162831,Sơn Trà,17,16.05989,108.24576,REGULAR,,"New, Quite, Spacious Studio ,1 phút đi bộ đến bãi biển",private_room,,,False,,/ đêm,2.0,,,,True,True,,True,,,,,,True,True,True,True,,,541.284,₫541.284,True,True,,,,,,,,,,,True,,,,,,,,,,,,
30188331,https://www.airbnb.com.vn/rooms/30188331,Thành phố Hội An,30,15.87962,108.32009,REGULAR,,"Gần khu phố cổ, Phòng 3 người, Đã bao gồm bữa sáng",private_room,,,False,,/ đêm,3.0,,True,,True,True,True,True,True,,"4,75",4,True,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
705618337816816449,https://www.airbnb.com.vn/rooms/705618337816816449,Thành phố Hội An,30,15.891841186202576,108.37257525874861,REGULAR,,Đóng Sông/Đóng Bãi biển/Cũi/Hố lửa/Hồ bơi riêng,entire_home,,,False,,/ đêm,15.0,,True,True,True,True,True,True,True,,"4,95",42,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,
889738705451949911,https://www.airbnb.com.vn/rooms/889738705451949911,Thành phố Hội An,8,15.8873054,108.326331,REGULAR,,Twin room with swimming pool,private_room,,,False,,/ đêm,2.0,,,True,True,True,True,True,True,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23399725,https://www.airbnb.com.vn/rooms/23399725,,30,15.97445,108.2819,REGULAR,,Couple Retreat Studio @ 5* Resort,hotel_room,,,False,,/ đêm,3.0,,,,True,True,,True,,False,"4,75",4,True,True,True,,,,,1.338,₫1.338.270,,True,,,,,,,,,,True,True,,,,,,,,,,,,
13022479,https://www.airbnb.com.vn/rooms/13022479,Hội An,30,15.88287,108.35622,REGULAR,,"Nhà bếp chung 1 phòng ngủ, khung cảnh yên tĩnh ở Hội An 01",private_room,,,False,,/ đêm,2.0,,True,,True,True,True,True,True,False,"5,0",74,True,,,,,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
809149313817697856,https://www.airbnb.com.vn/rooms/809149313817697856,Ngũ Hành Sơn,26,16.05497,108.23956,REGULAR,,B-Private duplex-bathtub - 5 phút đi bộ đến bãi biển,entire_home,,,False,,/ đêm,3.0,,,,True,True,True,True,True,False,"5,0",7,,,,,,False,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,True
661934802715730325,https://www.airbnb.com.vn/rooms/661934802715730325,Ngũ Hành Sơn,13,16.04228,108.24737,REGULAR,,Căn hộ Studio đáng yêu gần biển Mỹ An,private_room,False,True,False,,/ đêm,2.0,True,,,True,True,True,True,True,,,1,,True,,,,,2,403.292,₫403.292,True,,,True,,,,,True,,,,,,,,,,,,,,,,
39009913,https://www.airbnb.com.vn/rooms/39009913,Thành phố Hội An,19,15.8808303,108.3554238,REGULAR,,Paddy Field View Room for Digital Nomad,private_room,False,True,False,,/ đêm,2.0,True,,,True,True,True,True,,False,,,,True,,,,False,,285.294,₫285.294,,,,True,,,,,,,,,True,,,,,,,,,,,,
