room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,SYSTEM_BEACH,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,isSuperHost,isVerified,yearHosting,price,price_full,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_SNOWFLAKE,SYSTEM_PETS,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_CITY,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SAUNA,SYSTEM_HIGH_CHAIR,SYSTEM_SMOKING_ALLOWED,SYSTEM_BREAKFAST,SYSTEM_FIREPIT,SYSTEM_REFRIGERATOR,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_PACK_N_PLAY,SYSTEM_TOYS,SYSTEM_PIANO,SYSTEM_CALENDAR
617069136705837622,https://www.airbnb.com.vn/rooms/617069136705837622,Cam Ranh,9,11.91988,109.1433,REGULAR,,Khi nghĩ dưỡng Alma,private_room,False,,/ đêm,5,,,True,True,,True,,True,False,,,,True,True,True,True,False,False,,3.423,₫3.423.531,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
47737016,https://www.airbnb.com.vn/rooms/47737016,Thành phố Phan Rang - Tháp Chàm,20,11.56171,108.99376,REGULAR,,Một Mí Homestay Phan Rang Ninh Thuận 3 phòng ngủ,private_room,False,,/ đêm,12,,,True,True,True,True,,,False,False,,,,,,,False,False,,1.605,₫1.605.934,,,,True,True,,,,,False,,,,,True,,,,,,,,,,,,,
831457278020334963,https://www.airbnb.com.vn/rooms/831457278020334963,,30,11.990449580155094,108.98677247530156,REGULAR,,ĐồiMơ Homestay ở đây có bình yên,entire_home,False,,/ đêm,8,True,True,True,True,True,True,,True,False,False,,,,,,,,,,1.302,₫1.302.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715687873844840231,https://www.airbnb.com.vn/rooms/715687873844840231,,30,12.0905,109.16839,REGULAR,,Không gian thoải mái cho bạn khi đến với Pure Land,entire_home,False,,/ đêm,4,,,True,True,True,True,True,True,False,False,,,,,,,,,,573.110,₫573.110,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
815677627642167267,https://www.airbnb.com.vn/rooms/815677627642167267,Thành phố Phan Rang - Tháp Chàm,30,11.585457458185255,109.02703315732268,REGULAR,,Phòng riêng số3 tại Nhà Thanh,private_room,False,,/ đêm,2,True,,True,True,,True,True,True,False,False,,,,,,True,,,,468.424,₫468.424,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
43377786,https://www.airbnb.com.vn/rooms/43377786,Phước Dinh,11,11.41752,109.00247,REGULAR,,Bungalow sang trọng với tầm nhìn ra vườn,entire_home,False,,/ đêm,2,,,,True,,True,,,False,False,,,True,,,,,,,2.200,₫2.200.000,,,,True,True,,,,,,,,,,True,,,,True,,,,,,,,,
719788313900868820,https://www.airbnb.com.vn/rooms/719788313900868820,Thành phố Phan Rang - Tháp Chàm,11,11.564372057903018,109.0108366552275,REGULAR,,Biệt Thự Sân Vườn Ven Biển,entire_home,False,,/ đêm,12,,,True,True,True,True,True,,False,,,,True,,True,True,,,,2.510,₫2.510.589,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
41467603,https://www.airbnb.com.vn/rooms/41467603,Cam Lâm,30,12.11255,109.19023,REGULAR,,"Florihome Beach House, 02 next door Balcony Rooms",private_room,False,,/ đêm,4,,,True,True,True,True,,True,False,,,,True,,,True,False,True,,1.084,₫1.084.118,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
34912565,https://www.airbnb.com.vn/rooms/34912565,Cam Ranh,30,11.781,109.21267,REGULAR,,Nhà Annie bên bờ san hô trên đảo Bình Hưng,entire_home,False,,/ đêm,10,,,True,True,,,,,False,False,,,,,,,,,,1.129,₫1.129.765,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,
643149196003779218,https://www.airbnb.com.vn/rooms/643149196003779218,Thành phố Phan Rang - Tháp Chàm,5,11.5763489,108.9963207,REGULAR,,Nha Trang 3 Phan Phan Rang,entire_home,False,,/ đêm,4,,,True,True,True,True,True,True,False,False,,,,,,True,,,,1.027,₫1.027.059,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
