room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_POOL,yearHosting,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_REFRIGERATOR,SYSTEM_EV_CHARGER,SYSTEM_BREAKFAST,SYSTEM_BATHTUB,SYSTEM_SMOKING_ALLOWED,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_CALENDAR,SYSTEM_SAUNA,SYSTEM_MAPS_RESORT,SYSTEM_FIREPIT,SYSTEM_TOYS,SYSTEM_PIANO
631377575179755815,https://www.airbnb.com.vn/rooms/631377575179755815,,Ngô Quyền,9,20.83732,106.70049,REGULAR,,Căn hộ tuyệt vời với hồ bơi 193 Văn Cao,private_room,,False,,/ đêm,1.027,₫1.027.059,2,True,True,True,True,,True,,True,,False,,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
25894050,https://www.airbnb.com.vn/rooms/25894050,"4,82",tt. Cát Bà,25,20.73292,107.05891,REGULAR,,Aroma House - Phòng đôi riêng,private_room,18,False,,/ đêm,802.991,₫802.991,2,True,True,,True,,,,,,False,True,True,,,,False,True,True,,,False,,True,,8,True,,,,,,,,,,,,,,,,
874094016329313082,https://www.airbnb.com.vn/rooms/874094016329313082,,Hạ Long,15,20.95677,107.00337,REGULAR,,Halong And Me Happy Corner,private_room,,False,,/ đêm,,,3,True,True,True,True,,True,,True,,False,,,,,,False,False,True,True,,,,,,,,True,,,,,,,,,,,,,,,
35355151,https://www.airbnb.com.vn/rooms/35355151,"4,56",Hạ Long,30,20.94769,107.07161,REGULAR,,Căn hộ cao cấp Sapphire Hạ Long - 2 phòng ngủ,entire_home,34,False,,/ đêm,,,5,True,True,,True,,True,True,True,,,True,True,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,
876661743845750208,https://www.airbnb.com.vn/rooms/876661743845750208,,Thành phố Hạ Long,23,20.95122,107.07421,REGULAR,,3BR Apart-Sea view 1 min to Sea,entire_home,,False,,/ đêm,2.053,₫2.053.374,8,True,True,True,,,True,,True,,False,True,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
888631600452200193,https://www.airbnb.com.vn/rooms/888631600452200193,,Thành phố Hạ Long,9,20.96775,106.99261,REGULAR,,Phòng khép kín có bếp nhỏ,private_room,,False,,/ đêm,,,4,True,True,True,True,,,,,,False,True,,,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,True
29493868,https://www.airbnb.com.vn/rooms/29493868,"5,0",Cát Hải,30,20.805569756387527,107.03937280923128,REGULAR,,Phòng riêng cho gia đình cổ,entire_home,5,False,,/ đêm,1.640,₫1.640.693,5,True,,True,True,True,,,,,False,,True,True,,,False,,,,,,,True,,,,,,True,,,,,,,,,,,,,
878602825785390289,https://www.airbnb.com.vn/rooms/878602825785390289,,Thành phố Hạ Long,7,20.96086,107.01735,REGULAR,,Mộc homestay,entire_home,,False,,/ đêm,,,2,True,True,True,True,,True,,True,,,,,,,True,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,
756671259680641127,https://www.airbnb.com.vn/rooms/756671259680641127,,Cát Hải,27,20.73043,107.05519,REGULAR,,Phòng ba hương thơm,private_room,1,False,,/ đêm,1.070,₫1.070.653,3,True,True,,True,,,,,,False,True,,True,,,False,True,True,True,,,,True,,8,,,,,,,True,,,,,,,,,,
41826412,https://www.airbnb.com.vn/rooms/41826412,"4,25",Ngô Quyền,26,20.86384,106.69114,REGULAR,,Căn hộ Studio Khánh Phong PG0220 Vincom,entire_home,4,False,,/ đêm,,,2,True,True,True,True,True,True,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
