room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_TV,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_TOYS,SYSTEM_FIREPIT
43343940,https://www.airbnb.com.vn/rooms/43343940,,Phong Điền,30,9.997322082519531,105.71240997314453,REGULAR,,"Căn phòng ngọt ngào bên bờ sông, nhà ở ngắm hoàng hôn",private_room,,False,,/ đêm,664.804,₫664.804,2.0,,True,,True,True,,True,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
31706328,https://www.airbnb.com.vn/rooms/31706328,"3,83",,30,10.03346,105.78397,REGULAR,,Phòng thu ngọt ngào trên phố ẩm thực gần bến Ninh Kiều,private_room,6,False,,/ đêm,627.647,₫627.647,12.0,,True,,,,,True,True,,,,True,True,True,,True,,True,True,,True,,,,,,,,,,,,,,,,,
40824613,https://www.airbnb.com.vn/rooms/40824613,,Ninh Kiều,10,10.04759,105.77463,REGULAR,,Nội dung mới! Phòng kinh tế với cửa sổ 3 phút để tiếp thị@CanTho,private_room,,False,,/ đêm,369.412,₫369.412,2.0,True,True,,True,,,True,,False,False,,True,,,,True,,,,,,False,False,,True,,,,,,,,,,,,,
21542807,https://www.airbnb.com.vn/rooms/21542807,"5,0",Tân Phong,20,10.31864,106.05284,REGULAR,,Mekong Ecolodge,private_room,4,False,,/ đêm,1.070,₫1.070.653,4.0,,True,,,True,True,True,,False,False,,,,,,True,,,,,,,,,,True,,,True,,,,,,,,,
47064302,https://www.airbnb.com.vn/rooms/47064302,,Ninh Kiều,7,10.04646,105.75784,REGULAR,,"Không gian cho bạn, thân thiên, yên tĩnh, ấm áp.",private_room,,False,,/ đêm,802.991,₫802.991,2.0,True,True,True,True,,,True,,False,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
878562294192423495,https://www.airbnb.com.vn/rooms/878562294192423495,,Phước Thới,7,10.100238995466933,105.68632073700428,REGULAR,,Masawi Home,private_room,,False,,/ đêm,,,,True,True,,True,True,,,,False,False,True,,True,,,,,,,,,False,True,,True,,,,,,,,,,,,,
814939546067911143,https://www.airbnb.com.vn/rooms/814939546067911143,,Ninh Kiều,20,10.0247,105.77149,REGULAR,,Cửa sổ tầng 28-3 của Spring House,private_room,,False,,/ đêm,342.444,₫342.444,1.0,True,True,True,True,,,,True,False,False,,True,,,,,,,,,,True,True,,True,,,True,,,,,,,,,,
39826106,https://www.airbnb.com.vn/rooms/39826106,,Nhơn Nghĩa,30,9.97017,105.69601,REGULAR,,Mekong Daniel Resort (Bungalow4),entire_home,,False,,/ đêm,615.604,₫615.604,2.0,True,True,True,True,True,,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
831750130260754235,https://www.airbnb.com.vn/rooms/831750130260754235,,Ninh Kiều,14,10.019750787044405,105.76503351330757,REGULAR,,"home stay phòng rộng 40m, đủ tiện nghi",private_room,,False,,/ đêm,512.629,₫512.629,4.0,,True,True,,,,True,True,False,False,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,
39827608,https://www.airbnb.com.vn/rooms/39827608,,Nhơn Nghĩa,30,9.96795,105.69776,REGULAR,,Mekong Daniel Resort (Bungalow6),entire_home,,False,,/ đêm,669.159,₫669.159,3.0,True,True,True,True,True,,,True,False,False,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
