room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,rating,reviewCount,yearHosting,price,price_full,SYSTEM_COOKING_BASICS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_ELEVATOR,SYSTEM_SAUNA,SYSTEM_BREAKFAST,SYSTEM_BEACH,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_PIANO,SYSTEM_BATHTUB
729625493927442011,https://www.airbnb.com.vn/rooms/729625493927442011,Hoàn Kiếm,6,21.03144,105.85,REGULAR,,Aqua house 3 * 50m hồ Guom * khu phố CỔ*netflix,private_room,False,,/ đêm,2,,True,True,True,True,True,True,,False,False,,,,,"4,17",23,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
735720253726051982,https://www.airbnb.com.vn/rooms/735720253726051982,Hoàn Kiếm,17,21.021208,105.8473892,REGULAR,,Vequehomflix/Villa4/Netflix/Nhà bếp/Hoà bình,private_room,False,,/ đêm,2,,True,,,True,True,True,,False,False,False,False,,,"4,43",7,8,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,
844817886726901754,https://www.airbnb.com.vn/rooms/844817886726901754,Ba Đình,8,21.033092023426853,105.81121545284986,REGULAR,,3 studio near WestLake and Lotte BaDinh,private_room,False,,/ đêm,2,,True,True,True,True,,,True,False,False,,,,,,,,379.441,₫379.441,True,,,,,,,True,,,,,,,,True,,,,,,,,,,,
22541913,https://www.airbnb.com.vn/rooms/22541913,Hanoi,16,21.00851,105.82306,REGULAR,,Phòng ngủ có sân vườn ngay trung tâm Hà Nội,private_room,False,,/ đêm,2,,True,,True,True,True,True,,False,False,True,True,True,,"4,82",87,6,347.972,₫347.972,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
891594785889170927,https://www.airbnb.com.vn/rooms/891594785889170927,Hoàn Kiếm,12,21.0301731,105.8504665,REGULAR,,Le Teapot @50m to HoanKiemLake,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,,,,,,,,489.189,₫489.189,True,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,
40364755,https://www.airbnb.com.vn/rooms/40364755,Hà Nội,30,21.03117,105.85395,REGULAR,,#41 PHONG CÁCH TỐI GIẢN ★5 phút đến Nhà hát Múa rối Nước,private_room,False,,/ đêm,2,,True,,,True,,True,,False,False,False,True,True,,"4,7",10,5,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
10540525,https://www.airbnb.com.vn/rooms/10540525,Hanoi,26,21.03489,105.84494,REGULAR,,Phòng studio rộng rãi gần khu phố cổ,private_room,False,,/ đêm,2,,True,True,True,True,True,True,,False,False,False,True,True,,"4,77",239,7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
34636213,https://www.airbnb.com.vn/rooms/34636213,,13,21.03259,105.80813,REGULAR,,"H251 * Căn hộ 1 giường * Giặt ủi, vệ sinh miễn phí * Phòng tập thể dục *Lotte",entire_home,False,,/ đêm,2,,True,,True,True,True,True,,,,,,,,"4,78",51,,487.151,₫487.151,True,True,,,,,,True,,,,True,,,,True,,,,,,,,,,,
770554277221934764,https://www.airbnb.com.vn/rooms/770554277221934764,Tây Hồ,28,21.0899591,105.7915941,REGULAR,,Ngôi nhà ấm áp và thân thiện - gần Hồ Tây,private_room,False,,/ đêm,2,,True,True,,True,True,True,,False,False,False,True,True,,,,,273.882,₫273.882,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
797679496311138245,https://www.airbnb.com.vn/rooms/797679496311138245,Hoàn Kiếm,5,21.03118,105.85587,REGULAR,,"Khu phố cổ Lovelyhome,Nhà thờ",entire_home,False,,/ đêm,2,True,True,True,True,True,True,True,,,,,,,,"4,21",29,,365.177,₫365.177,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,
