room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_SMOKING_ALLOWED,SYSTEM_PIANO,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_BREAKFAST,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CALENDAR,SYSTEM_BATHTUB
36681116,https://www.airbnb.com.vn/rooms/36681116,"4,64",Hai Bà Trưng,18,20.99721,105.86368,REGULAR,,Ngôi nhà ấm cúng ở góc nhìn thoáng mát trên toàn trung tâm. R#202,private_room,44,True,True,4,False,,/ đêm,321.127,₫321.127,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
20019831,https://www.airbnb.com.vn/rooms/20019831,"4,91",Hanoi,30,21.04285,105.79045,REGULAR,,"Phòng có bếp, WC, Netflix gần phố khu ăn uống",entire_home,196,,,,False,,/ đêm,,,3.0,,True,True,True,True,True,,,,,True,,True,True,,,,,True,,True,,,,,,,,,,,,,,,
893092575076041318,https://www.airbnb.com.vn/rooms/893092575076041318,,Đống Đa,19,21.029619046667232,105.83367860304108,REGULAR,,Libré Homestay - Stadium View,private_room,,,,,False,,/ đêm,,,2.0,,True,True,,True,True,,,False,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
878669471526396643,https://www.airbnb.com.vn/rooms/878669471526396643,,Ba Đình,30,21.03286,105.80887,REGULAR,,Sumitomo9 Apartment - 58 Dao Tan,private_room,,False,True,,False,,/ đêm,,,2.0,True,True,True,True,,,,,,,True,True,,,,,True,True,True,,,,,,True,,,,,,,,,,,
601090070091266860,https://www.airbnb.com.vn/rooms/601090070091266860,"4,67",Hoàn Kiếm,11,21.03342,105.84747,REGULAR,,Trịnh Homestay & Hostel (phòng đôi 1-2 khách),private_room,6,,,,False,,/ đêm,465.600,₫465.600,2.0,,,True,True,,True,True,True,False,,,,,True,,,,,True,,True,,,,,,,,,,,,,,,
665790698932957015,https://www.airbnb.com.vn/rooms/665790698932957015,"5,0",Từ Liêm,8,21.03141,105.77266,REGULAR,,"Căn hộ tươi mới tại Mỹ Đình, Hà Nội",private_room,3,,,,False,,/ đêm,345.692,₫345.692,2.0,,True,True,True,True,True,,,False,False,True,,,,,True,,,True,,,,,,,,,,,,,,,,,
43399160,https://www.airbnb.com.vn/rooms/43399160,,Cầu Giấy,3,21.05635,105.78205,REGULAR,,Một căn phòng đẹp và tiện nghi tại 19 Tăng Thiết Giáp,private_room,,,,,False,,/ đêm,270.530,₫270.530,2.0,,,True,,,True,,,False,False,,,True,,,,,,,,,,,,,True,,,,,,,,,,
892400194450862430,https://www.airbnb.com.vn/rooms/892400194450862430,,Tây Hồ,6,21.0673808,105.8350737,REGULAR,,Homestay tại Tây Hồ,private_room,,,,,False,,/ đêm,,,4.0,,True,True,,True,True,,,False,False,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,
893226997614590673,https://www.airbnb.com.vn/rooms/893226997614590673,,Cầu Giấy,11,21.02544254993014,105.79295587104997,REGULAR,,bugalow giữa trung tâm cầu giấy,entire_home,,,,,False,,/ đêm,,,2.0,,True,True,,,True,,,False,False,True,,,True,,,,,True,,,,,,,,,,,,,,,,,
38589719,https://www.airbnb.com.vn/rooms/38589719,"4,35",Tây Hồ,7,21.06929,105.82413,REGULAR,,Toàn bộ căn hộ ấm cúng/Vị trí thuận tiện/Gần Hồ Tây,entire_home,40,,,,False,,/ đêm,457.708,₫457.708,2.0,,True,True,,True,True,,,False,False,True,,,True,,True,,True,,,,,,,,,,,,,,,,,,
