room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,SYSTEM_EV_CHARGER,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,rating,reviewCount,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_PETS,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_BEACH,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MICROWAVE,SYSTEM_MAPS_BAR,SYSTEM_PIANO,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_GYM
53343755,https://www.airbnb.com.vn/rooms/53343755,Thuận An,10,10.94891,106.70526,REGULAR,,Căn hộ 2 phòng ngủ đáng yêu ở Thuận An.,entire_home,False,,/ đêm,487.747,₫487.747,2.0,,True,True,True,,True,True,True,,False,,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
785255238095460207,https://www.airbnb.com.vn/rooms/785255238095460207,Thị xã Tân Uyên,26,10.9964392,106.7255044,REGULAR,,Cảm giác như ở nhà,entire_home,False,,/ đêm,2.513,₫2.513.547,10.0,,True,True,True,True,True,,True,,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
670093326062702576,https://www.airbnb.com.vn/rooms/670093326062702576,thành phố Biên Hòa,8,10.96732,106.79599,REGULAR,,Nhà nhỏ có sân,private_room,False,,/ đêm,399.412,₫399.412,2.0,,True,True,True,,True,True,True,,False,False,False,,,,,,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,
557162342929643396,https://www.airbnb.com.vn/rooms/557162342929643396,Quận 9,30,10.87806,106.8363,REGULAR,,"S12, nhà nghỉ dưỡng 3 phòng ngủ đáng yêu với hồ bơi S1",entire_home,False,,/ đêm,,,7.0,,True,True,,True,True,True,True,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,True,,,,,,,,,,
832671072900593266,https://www.airbnb.com.vn/rooms/832671072900593266,Thành phố Thủ Dầu Một,10,10.97016,106.66502,REGULAR,,Căn hộ cao cấp,entire_home,False,,/ đêm,1.644,₫1.644.793,4.0,,True,True,True,True,True,True,True,,False,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,
801006331168204017,https://www.airbnb.com.vn/rooms/801006331168204017,thành phố Biên Hòa,7,10.942831179146376,106.85900296885553,REGULAR,,"Nhà nghỉ sạch sẽ giá bình dân, có chỗ để xe hơi",private_room,False,,/ đêm,267.670,₫267.670,2.0,,,True,,,True,,True,,False,,,,True,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,
789525342444383565,https://www.airbnb.com.vn/rooms/789525342444383565,Thị xã Tân Uyên,8,11.0581324,106.7197454,REGULAR,,Nhà Nghỉ Phú Quý,private_room,False,,/ đêm,,,2.0,,True,True,True,,True,,,,False,False,True,,True,,,,True,,,,True,False,,True,,,,,,,,,,,,,,,,,,,,
17468252,https://www.airbnb.com.vn/rooms/17468252,Hiệp Bình Phước,29,10.86441,106.72634,REGULAR,,Căn hộ 3 giường ấm cúng,entire_home,False,,/ đêm,,,5.0,,True,,,True,True,True,True,True,,,,,,,"4,8",6,True,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,
663983738461179285,https://www.airbnb.com.vn/rooms/663983738461179285,Thành phố Thủ Dầu Một,30,10.96958,106.66721,REGULAR,,"Căn hộ 2 phòng ngủ hoàn toàn mới với Hồ bơi/Phòng tập thể dục/Trung tâm, Bình Dương",entire_home,False,,/ đêm,1.851,₫1.851.777,4.0,True,True,True,True,True,True,True,True,,,,,,,,"5,0",3,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
44973334,https://www.airbnb.com.vn/rooms/44973334,Quận 9,23,10.88802,106.83463,REGULAR,,APHÓN Homedy-2BR*fullfurnished&largeview-relaxin,entire_home,False,,/ đêm,915.753,₫915.753,5.0,,True,True,True,True,True,,,,,,,,,,"4,93",14,True,True,,,,,,,,,,True,,,True,True,,,,,,,,,,,,
