room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_PETS,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,yearHosting,SYSTEM_DRYER,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TOYS,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_LUGGAGE_DROP,SYSTEM_MAPS_RESORT,SYSTEM_EV_CHARGER,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_GYM,SYSTEM_MICROWAVE
32478519,https://www.airbnb.com.vn/rooms/32478519,,Lê Chân,6,20.82383,106.69261,REGULAR,,HAI PHONG APARTMENT 2,private_room,,False,,/ đêm,2.0,,,True,True,,True,,True,False,True,,True,,342.353,₫342.353,,,False,True,,False,,,,,True,False,,,,,,,,,,,,,,,,,
664633945397622018,https://www.airbnb.com.vn/rooms/664633945397622018,,Hải An,14,20.845382107819468,106.7123256996274,REGULAR,,"Khách sạn có bồn tâm
Giá siêu rẻ gàn trung tâm TP",private_room,,False,,/ đêm,2.0,,,,True,,True,,True,,,,True,,,,True,,,,,,,,,,True,,,True,,,,,True,True,,,,,True,,,,
43862578,https://www.airbnb.com.vn/rooms/43862578,,Quan Lan,5,20.87575,107.4926,REGULAR,,Trí cúc homestay,private_room,,False,,/ đêm,16.0,,,True,True,,True,,True,False,,True,True,,456.471,₫456.471,True,,False,True,,False,,,,,,False,,,,,,,,,,,,,,,,,
26627711,https://www.airbnb.com.vn/rooms/26627711,,Thành phố Hạ Long,11,20.96095,107.06921,REGULAR,,TAM BAO ANH,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,True,,True,,456.471,₫456.471,,,False,False,True,False,,,,,,,,True,,,,,True,,,,,,,,,,
41160628,https://www.airbnb.com.vn/rooms/41160628,,Hồng Bàng,10,20.874159,106.649551,REGULAR,,Phòng 203 - Vân Anh,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,True,True,,268.177,₫268.177,True,,False,True,True,False,,,,,,,,,,,,,,True,,,,,,,,,
43583627,https://www.airbnb.com.vn/rooms/43583627,,Ngô Quyền,3,20.83573,106.70117,REGULAR,,Cuộc sống tốt đẹp,private_room,,False,,/ đêm,4.0,,,True,True,,True,,,False,,True,True,,285.294,₫285.294,,,False,False,,False,,,,,True,False,,True,,,,,,,,,,,,,,,
25017684,https://www.airbnb.com.vn/rooms/25017684,,tt. Cát Bà,8,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 4,private_room,,False,,/ đêm,4.0,,,,True,,,,True,False,,True,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,True,,,,
733159029918052987,https://www.airbnb.com.vn/rooms/733159029918052987,,Thành phố Cẩm Phả,5,21.0032,107.26301,REGULAR,,Phòng 2 giường chỉ từ 350k/đêm,private_room,,False,,/ đêm,4.0,,,,True,,True,,True,False,,,True,,399.412,₫399.412,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
38589390,https://www.airbnb.com.vn/rooms/38589390,,Cát Hải,30,20.726755142211914,107.05192565917969,REGULAR,,"Số 71 đường núi ngọc, cát bà, hải phòng",hotel_room,,False,,/ đêm,10.0,True,,,True,True,True,,True,False,True,True,True,,399.412,₫399.412,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
33512647,https://www.airbnb.com.vn/rooms/33512647,,Hạ Long,30,20.9712,107.04481,REGULAR,,HONG NGOC RUBY HA LONG,shared_room,,False,,/ đêm,16.0,,True,True,True,,True,,,False,,True,True,,330.941,₫330.941,,,,,,False,,,,,,,,True,,,,True,,,,,,,,,,,
25017053,https://www.airbnb.com.vn/rooms/25017053,,tt. Cát Bà,9,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 7,private_room,,False,,/ đêm,4.0,,,,True,,,,True,False,,,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,,,,,
