room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FLOWER,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_DRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,yearHosting,SYSTEM_SMOKING_ALLOWED
574492446346576944,https://www.airbnb.com.vn/rooms/574492446346576944,,Thành phố Tuy Hòa,15,13.104965,109.308327,REGULAR,,"Apec 5 sao TP.Tuy Hòa, Phú Yên -QQ'House View Biển",entire_home,,False,,/ đêm,673.294,₫673.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882150488583995131,https://www.airbnb.com.vn/rooms/882150488583995131,,Thành phố Tuy Hòa,6,13.09515,109.31393,REGULAR,,Alicia Hotel - Standard room,private_room,,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874125575634377078,https://www.airbnb.com.vn/rooms/874125575634377078,,Tuy An,16,13.35304,109.28001,REGULAR,,Tammy homestay – Room 1,private_room,,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,
823410792395034757,https://www.airbnb.com.vn/rooms/823410792395034757,,Thành phố Tuy Hòa,15,13.104144030977686,109.30684819083706,REGULAR,,Căn hộ cao cấp King House Apec Phú Yên,entire_home,,False,,/ đêm,894.683,₫894.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872184470758195621,https://www.airbnb.com.vn/rooms/872184470758195621,,Thị xã Sông Cầu,20,13.352894163288193,109.2894533624932,REGULAR,,Tammy homestay  Room 2,private_room,,False,,/ đêm,,,2.0,,,True,True,,,True,,False,,True,,,,False,,,,,,True,,,,,False,True,True,,,True
40798076,https://www.airbnb.com.vn/rooms/40798076,"5,0",Thành phố Tuy Hòa,16,13.10227,109.31351,REGULAR,,Sống cùng gia đình bản xứ CỦA BẠN - Chế độ xem ban công phòng đơn,private_room,5,False,,/ đêm,456.471,₫456.471,2.0,,,True,True,,True,,True,False,,,True,True,,False,,,,,,,,,True,,False,True,True,,3,
852615697823718289,https://www.airbnb.com.vn/rooms/852615697823718289,,Thành phố Tuy Hòa,20,13.10097,109.31325,REGULAR,,Phòng đôi tại khách sạn HANID,private_room,,False,,/ đêm,342.353,₫342.353,2.0,,,True,True,,True,True,True,False,,,,True,True,,,,,,,,,,,,,,,,,
42203967,https://www.airbnb.com.vn/rooms/42203967,,Thành phố Tuy Hòa,25,13.09682,109.3119,REGULAR,,COCONUT HOTEL PHÚ YÊN (FAMILY ROOM WITH CITY VIEW),private_room,,False,,/ đêm,627.647,₫627.647,4.0,True,,True,True,,True,True,True,False,,,True,,,,True,,,,,,,,True,,,,,,,
767651814850180137,https://www.airbnb.com.vn/rooms/767651814850180137,,Thành phố Tuy Hòa,18,13.111091293411103,109.30806901305914,REGULAR,,Phòng ngủ đôi cao cấp - Khách sạn Spotlight,private_room,,False,,/ đêm,741.765,₫741.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787325994277243951,https://www.airbnb.com.vn/rooms/787325994277243951,,Đông Hòa,17,12.9388751,109.4261135,REGULAR,,"Moon homestay, Phú Yên",entire_home,,False,,/ đêm,582.000,₫582.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826382222728423744,https://www.airbnb.com.vn/rooms/826382222728423744,,Thành phố Tuy Hòa,8,13.09894,109.31074,REGULAR,,Bồn tắm Skylight - ở trung tâm Tuy Hòa,private_room,,False,,/ đêm,1.654,₫1.654.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845188058378232667,https://www.airbnb.com.vn/rooms/845188058378232667,,Bãi biển Gành Đá Đĩa,30,13.35082,109.29019,REGULAR,,Homestay mặt biển Gành Đá Đĩa,entire_home,,False,,/ đêm,2.852,₫2.852.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852606661871124448,https://www.airbnb.com.vn/rooms/852606661871124448,,Thành phố Tuy Hòa,7,13.1095186,109.3093014,REGULAR,,Khách sạn biển Karina Phú Yên,entire_home,,False,,/ đêm,3.200,₫3.200.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775777499255809738,https://www.airbnb.com.vn/rooms/775777499255809738,,Thành phố Tuy Hòa,30,13.0998,109.31481,REGULAR,,"Homestay 6 phòng ngủ, 5p đi bộ tới biển Tuy Hòa",entire_home,,False,,/ đêm,2.464,₫2.464.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890577618915207792,https://www.airbnb.com.vn/rooms/890577618915207792,,Tân Phong,9,13.0891,109.30015,REGULAR,,Anna Boutique Guest House Dist 7,private_room,,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874912018397157645,https://www.airbnb.com.vn/rooms/874912018397157645,,Thành phố Tuy Hòa,30,13.0993485,109.3160429,REGULAR,,Phòng 2 người trong nhà 2 phòng ngủ Tuy Hòa,private_room,1,False,,/ đêm,513.530,₫513.530,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,6,
742265339997254369,https://www.airbnb.com.vn/rooms/742265339997254369,,Thành phố Tuy Hòa,30,13.09932950424227,109.31602779775858,REGULAR,,"Homestay 4 người, 5p đi bộ ra biển Tuy Hòa",entire_home,,False,,/ đêm,1.369,₫1.369.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554529106119418087,https://www.airbnb.com.vn/rooms/554529106119418087,,Thành phố Tuy Hòa,27,13.09116,109.31458,REGULAR,,Căn hộ cao cấp có hồ bơi tầng 27,private_room,2,False,,/ đêm,912.942,₫912.942,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,1,
40161732,https://www.airbnb.com.vn/rooms/40161732,,Sông Cầu,19,13.50893,109.29027,REGULAR,,Bungalow bãi biển Lucky Spot - Bình minh thư giãn #2,private_room,,False,,/ đêm,809.770,₫809.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29555337,https://www.airbnb.com.vn/rooms/29555337,"4,33",An Chấn,20,13.18076,109.26644,REGULAR,,Vườn đá Mộc Miên - Bungalow 1,private_room,3,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,4,
606398125088605573,https://www.airbnb.com.vn/rooms/606398125088605573,,Thành phố Tuy Hòa,20,13.10716,109.30456,REGULAR,,Apec Phú Yên đạt chuẩn 5 sao,entire_home,,False,,/ đêm,1.369,₫1.369.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568493682491949688,https://www.airbnb.com.vn/rooms/568493682491949688,,Thành phố Tuy Hòa,8,13.107945,109.298454,REGULAR,,"Khách sạn có sân vườn, có chỗ đậu xe, gần biển",private_room,,False,,/ đêm,262.471,₫262.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654506497250613076,https://www.airbnb.com.vn/rooms/654506497250613076,,Thành phố Tuy Hòa,23,13.094842004448042,109.31935337724609,REGULAR,,Letters Homestay Lê Duẩn-nguyên căn cách biển 200m,entire_home,,False,,/ đêm,1.711,₫1.711.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
